WKT,name,description
"POINT (37.00202 49.19538)",Fire,2022-07-04	11:13 UTC
"POINT (37.08386 48.92337)",Fire,2022-07-04	09:30 UTC
"POINT (37.09321 49.29029)",Fire,2022-07-04	10:19 UTC
"POINT (37.09762 49.25997)",Fire,2022-07-04	10:19 UTC
"POINT (37.10032 49.36235)",Fire,2022-07-04	11:13 UTC
"POINT (37.10922 49.29519)",Fire,2022-07-04	09:30 UTC
"POINT (37.10948 48.95105)",Fire,2022-07-04	11:13 UTC
"POINT (37.11291 49.22066)",Fire,2022-07-04	11:13 UTC
"POINT (37.1294 47.74327)",Fire,2022-07-04	11:10 UTC
"POINT (37.13023 49.30072)",Fire,2022-07-04	09:30 UTC
"POINT (37.15662 49.31648)",Fire,2022-07-04	10:19 UTC
"POINT (37.16285 49.31439)",Fire,2022-07-04	09:30 UTC
"POINT (37.18464 47.73449)",Fire,2022-07-04	11:10 UTC
"POINT (37.1977 49.11688)",Fire,2022-07-04	00:35 UTC
"POINT (37.21169 49.04744)",Fire,2022-07-04	10:19 UTC
"POINT (37.2173 48.98728)",Fire,2022-07-04	10:19 UTC
"POINT (37.22766 47.73251)",Fire,2022-07-04	10:19 UTC
"POINT (37.2338 47.72999)",Fire,2022-07-04	10:19 UTC
"POINT (37.26251 48.95547)",Fire,2022-07-04	09:30 UTC
"POINT (37.29164 49.12234)",Fire,2022-07-04	18:38 UTC
"POINT (37.30439 47.02717)",Fire,2022-07-04	00:35 UTC
"POINT (37.3364 49.16236)",Fire,2022-07-04	11:13 UTC
"POINT (37.34205 49.15706)",Fire,2022-07-04	11:13 UTC
"POINT (37.35003 49.1721)",Fire,2022-07-04	10:47 UTC
"POINT (37.37386 49.17575)",Fire,2022-07-04	00:35 UTC
"POINT (37.40283 47.98392)",Fire,2022-07-04	09:30 UTC
"POINT (37.41563 49.15187)",Fire,2022-07-04	10:19 UTC
"POINT (37.42411 49.15995)",Fire,2022-07-04	10:19 UTC
"POINT (37.43504 48.01339)",Fire,2022-07-04	18:38 UTC
"POINT (37.43588 48.99401)",Fire,2022-07-04	10:19 UTC
"POINT (37.43599 49.15724)",Fire,2022-07-04	00:35 UTC
"POINT (37.442 49.04309)",Fire,2022-07-04	10:19 UTC
"POINT (37.44218 49.15559)",Fire,2022-07-04	10:19 UTC
"POINT (37.44995 48.08953)",Fire,2022-07-04	09:30 UTC
"POINT (37.48705 48.00256)",Fire,2022-07-04	11:10 UTC
"POINT (37.49411 49.00213)",Fire,2022-07-04	10:19 UTC
"POINT (37.50342 48.90376)",Fire,2022-07-04	11:13 UTC
"POINT (37.51024 49.13404)",Fire,2022-07-04	10:19 UTC
"POINT (37.5542 49.12284)",Fire,2022-07-04	09:30 UTC
"POINT (37.56829 49.05383)",Fire,2022-07-04	18:38 UTC
"POINT (37.57389 49.04771)",Fire,2022-07-04	10:19 UTC
"POINT (37.5775 48.07745)",Fire,2022-07-04	11:10 UTC
"POINT (37.58313 47.94564)",Fire,2022-07-04	11:10 UTC
"POINT (37.60058 49.15408)",Fire,2022-07-04	11:13 UTC
"POINT (37.61703 48.19818)",Fire,2022-07-04	10:19 UTC
"POINT (37.68605 47.20172)",Fire,2022-07-04	09:30 UTC
"POINT (37.68897 48.89796)",Fire,2022-07-04	11:13 UTC
"POINT (37.73741 48.04162)",Fire,2022-07-04	18:38 UTC
"POINT (37.74389 48.97279)",Fire,2022-07-04	09:30 UTC
"POINT (37.75252 48.10124)",Fire,2022-07-04	10:19 UTC
"POINT (37.79989 48.07873)",Fire,2022-07-04	11:10 UTC
"POINT (37.94847 48.61151)",Fire,2022-07-04	10:19 UTC
"POINT (37.9925 48.448)",Fire,2022-07-04	10:19 UTC
"POINT (38.02378 48.55425)",Fire,2022-07-04	10:19 UTC
"POINT (38.0407 48.5531)",Fire,2022-07-04	10:19 UTC
"POINT (38.04704 48.5505)",Fire,2022-07-04	10:19 UTC
"POINT (38.05653 48.5275)",Fire,2022-07-04	09:30 UTC
"POINT (38.07045 48.43176)",Fire,2022-07-04	11:10 UTC
"POINT (38.08773 48.9846)",Fire,2022-07-04	10:19 UTC
"POINT (38.08852 48.28576)",Fire,2022-07-04	00:35 UTC
"POINT (38.11676 48.52189)",Fire,2022-07-04	10:19 UTC
"POINT (38.11909 48.44103)",Fire,2022-07-04	10:47 UTC
"POINT (38.12507 48.58534)",Fire,2022-07-04	10:19 UTC
"POINT (38.13437 48.83495)",Fire,2022-07-04	09:30 UTC
"POINT (38.13491 49.0326)",Fire,2022-07-04	10:19 UTC
"POINT (38.13811 48.69957)",Fire,2022-07-04	10:19 UTC
"POINT (38.14069 48.77988)",Fire,2022-07-04	11:10 UTC
"POINT (38.14819 48.72394)",Fire,2022-07-04	09:30 UTC
"POINT (38.14952 48.78214)",Fire,2022-07-04	10:19 UTC
"POINT (38.15119 49.03479)",Fire,2022-07-04	10:19 UTC
"POINT (38.15339 48.62038)",Fire,2022-07-04	10:19 UTC
"POINT (38.18234 48.88164)",Fire,2022-07-04	09:30 UTC
"POINT (38.20184 48.4696)",Fire,2022-07-04	10:19 UTC
"POINT (38.20272 48.50453)",Fire,2022-07-04	09:07 UTC
"POINT (38.20362 48.79718)",Fire,2022-07-04	09:30 UTC
"POINT (38.20773 48.46456)",Fire,2022-07-04	00:35 UTC
"POINT (38.20876 48.79009)",Fire,2022-07-04	10:19 UTC
"POINT (38.2112 48.46976)",Fire,2022-07-04	00:35 UTC
"POINT (38.21379 48.50837)",Fire,2022-07-04	09:30 UTC
"POINT (38.21418 48.64307)",Fire,2022-07-04	11:10 UTC
"POINT (38.21488 48.91439)",Fire,2022-07-04	09:30 UTC
"POINT (38.21629 48.51315)",Fire,2022-07-04	10:19 UTC
"POINT (38.22294 48.83808)",Fire,2022-07-04	09:30 UTC
"POINT (38.22913 48.60984)",Fire,2022-07-04	10:19 UTC
"POINT (38.23056 48.5684)",Fire,2022-07-04	10:19 UTC
"POINT (38.23169 48.83857)",Fire,2022-07-04	09:30 UTC
"POINT (38.23581 48.49617)",Fire,2022-07-04	09:07 UTC
"POINT (38.24339 48.21483)",Fire,2022-07-04	00:35 UTC
"POINT (38.24394 48.92455)",Fire,2022-07-04	10:19 UTC
"POINT (38.24573 48.46746)",Fire,2022-07-04	09:30 UTC
"POINT (38.24639 48.51167)",Fire,2022-07-04	11:10 UTC
"POINT (38.24917 48.7942)",Fire,2022-07-04	11:10 UTC
"POINT (38.25331 48.48348)",Fire,2022-07-04	10:19 UTC
"POINT (38.25331 48.51616)",Fire,2022-07-04	10:47 UTC
"POINT (38.25534 48.80326)",Fire,2022-07-04	10:19 UTC
"POINT (38.25568 48.50608)",Fire,2022-07-04	10:47 UTC
"POINT (38.25796 48.83142)",Fire,2022-07-04	10:19 UTC
"POINT (38.26012 48.51562)",Fire,2022-07-04	10:19 UTC
"POINT (38.26053 48.79451)",Fire,2022-07-04	11:10 UTC
"POINT (38.26425 48.89519)",Fire,2022-07-04	11:13 UTC
"POINT (38.26623 48.49563)",Fire,2022-07-04	10:19 UTC
"POINT (38.26885 48.90996)",Fire,2022-07-04	11:13 UTC
"POINT (38.27993 48.79612)",Fire,2022-07-04	10:19 UTC
"POINT (38.29105 48.50591)",Fire,2022-07-04	10:19 UTC
"POINT (38.29961 48.81839)",Fire,2022-07-04	11:10 UTC
"POINT (38.30907 48.43242)",Fire,2022-07-04	11:10 UTC
"POINT (38.32021 48.41735)",Fire,2022-07-04	09:30 UTC
"POINT (38.32919 48.42292)",Fire,2022-07-04	10:19 UTC
"POINT (38.33462 48.43093)",Fire,2022-07-04	09:30 UTC
"POINT (38.33643 48.62426)",Fire,2022-07-04	10:19 UTC
"POINT (38.33712 48.42664)",Fire,2022-07-04	09:30 UTC
"POINT (38.3384 48.41034)",Fire,2022-07-04	11:10 UTC
"POINT (38.34386 48.41618)",Fire,2022-07-04	11:10 UTC
"POINT (38.34489 48.40768)",Fire,2022-07-04	10:19 UTC
"POINT (38.34882 48.42771)",Fire,2022-07-04	11:10 UTC
"POINT (38.35125 48.40507)",Fire,2022-07-04	10:19 UTC
"POINT (38.3513 48.41549)",Fire,2022-07-04	09:30 UTC
"POINT (38.35295 48.42578)",Fire,2022-07-04	09:30 UTC
"POINT (38.35798 48.41722)",Fire,2022-07-04	09:30 UTC
"POINT (38.37051 48.40163)",Fire,2022-07-04	09:07 UTC
"POINT (38.39375 48.85008)",Fire,2022-07-04	09:30 UTC
"POINT (38.40567 49.01979)",Fire,2022-07-04	10:19 UTC
"POINT (38.57647 47.97042)",Fire,2022-07-04	10:47 UTC
"POINT (38.58533 47.96997)",Fire,2022-07-04	10:19 UTC
"POINT (38.58795 47.97726)",Fire,2022-07-04	11:10 UTC
"POINT (38.62333 48.53972)",Fire,2022-07-04	10:19 UTC
"POINT (38.70095 48.80231)",Fire,2022-07-04	10:19 UTC
"POINT (38.7542 48.05441)",Fire,2022-07-04	00:35 UTC
"POINT (38.75986 48.46629)",Fire,2022-07-04	10:19 UTC
"POINT (38.76029 48.05887)",Fire,2022-07-04	00:35 UTC
"POINT (38.76681 48.45461)",Fire,2022-07-04	10:47 UTC
"POINT (38.77304 48.46069)",Fire,2022-07-04	11:10 UTC
"POINT (38.78519 48.45639)",Fire,2022-07-04	10:47 UTC
"POINT (38.86964 47.26587)",Fire,2022-07-04	00:35 UTC
"POINT (38.95185 48.11281)",Fire,2022-07-04	11:10 UTC
"POINT (38.95789 48.11293)",Fire,2022-07-04	11:10 UTC
"POINT (39.06044 49.69229)",Fire,2022-07-04	09:30 UTC
